run,generation,best_fitness,algorithm,instance
5,77,14422,EA,tai20_5_0.fsp
5,78,14422,EA,tai20_5_0.fsp
5,79,14422,EA,tai20_5_0.fsp
5,80,14422,EA,tai20_5_0.fsp
5,81,14422,EA,tai20_5_0.fsp
5,82,14422,EA,tai20_5_0.fsp
5,83,14422,EA,tai20_5_0.fsp
5,84,14422,EA,tai20_5_0.fsp
5,85,14422,EA,tai20_5_0.fsp
5,86,14422,EA,tai20_5_0.fsp
5,87,14422,EA,tai20_5_0.fsp
5,88,14422,EA,tai20_5_0.fsp
5,89,14422,EA,tai20_5_0.fsp
5,90,14422,EA,tai20_5_0.fsp
5,91,14422,EA,tai20_5_0.fsp
5,92,14422,EA,tai20_5_0.fsp
5,93,14422,EA,tai20_5_0.fsp
5,94,14422,EA,tai20_5_0.fsp
5,95,14422,EA,tai20_5_0.fsp
5,96,14422,EA,tai20_5_0.fsp
5,97,14422,EA,tai20_5_0.fsp
5,98,14422,EA,tai20_5_0.fsp
5,99,14422,EA,tai20_5_0.fsp
6,0,16049,EA,tai20_5_0.fsp
6,1,15963,EA,tai20_5_0.fsp
6,2,15802,EA,tai20_5_0.fsp
6,3,15802,EA,tai20_5_0.fsp
6,4,15759,EA,tai20_5_0.fsp
6,5,15623,EA,tai20_5_0.fsp
6,6,15536,EA,tai20_5_0.fsp
6,7,15531,EA,tai20_5_0.fsp
6,8,15531,EA,tai20_5_0.fsp
6,9,15398,EA,tai20_5_0.fsp
6,10,15271,EA,tai20_5_0.fsp
6,11,15271,EA,tai20_5_0.fsp
6,12,15271,EA,tai20_5_0.fsp
6,13,15238,EA,tai20_5_0.fsp
6,14,15238,EA,tai20_5_0.fsp
6,15,15238,EA,tai20_5_0.fsp
6,16,15178,EA,tai20_5_0.fsp
6,17,15178,EA,tai20_5_0.fsp
6,18,15123,EA,tai20_5_0.fsp
6,19,15123,EA,tai20_5_0.fsp
6,20,15123,EA,tai20_5_0.fsp
6,21,15123,EA,tai20_5_0.fsp
6,22,14902,EA,tai20_5_0.fsp
6,23,14902,EA,tai20_5_0.fsp
6,24,14902,EA,tai20_5_0.fsp
6,25,14902,EA,tai20_5_0.fsp
6,26,14902,EA,tai20_5_0.fsp
6,27,14902,EA,tai20_5_0.fsp
6,28,14902,EA,tai20_5_0.fsp
6,29,14902,EA,tai20_5_0.fsp
6,30,14902,EA,tai20_5_0.fsp
6,31,14902,EA,tai20_5_0.fsp
